   # lambda  flux(e-/s)    stddev 
  10502.579     0.06438   0.03708 
  10503.665    -0.05303   0.03132 
  10504.751     0.01834   0.03030 
  10505.837    -0.04289   0.02936 
  10506.923    -0.02773   0.03183 
  10508.009    -0.07552   0.03602 
  10509.095    -0.12853   0.05018 
  10510.181    -0.11449   0.10054 
  10511.267    -0.01278   0.12081 
  10512.353     0.05605   0.09794 
  10513.439     0.03009   0.08886 
  10514.525     0.21650   0.06052 
  10515.611     0.07524   0.04414 
  10516.697     0.01898   0.04213 
  10517.783    -0.02629   0.04094 
  10518.869    -0.02966   0.04303 
  10519.955    -0.01710   0.03589 
  10521.041     0.10936   0.03112 
  10522.127     0.03190   0.03096 
  10523.213     0.08449   0.03623 
  10524.299     0.08246   0.04999 
  10525.385     0.16710   0.09172 
  10526.471     0.03535   0.12424 
  10527.557     0.23970   0.12860 
  10528.643    -0.00018   0.12362 
  10529.729    -0.18262   0.09129 
  10530.814     0.04550   0.04183 
  10531.900    -0.06315   0.02773 
  10532.986    -0.00413   0.02605 
  10534.072     0.03792   0.02538 
  10535.158     0.01395   0.02778 
  10536.244     0.02166   0.02608 
  10537.330     0.00221   0.02683 
  10538.416     0.06237   0.02709 
  10539.502    -0.00254   0.02670 
  10540.588    -0.04748   0.02618 
  10541.674    -0.01738   0.02589 
  10542.760     0.01616   0.02576 
  10543.846     0.06124   0.02559 
  10544.932    -0.05214   0.02640 
  10546.018     0.01330   0.02506 
  10547.104    -0.01624   0.02621 
  10548.190     0.00555   0.03637 
  10549.276     0.07184   0.04736 
  10550.362     0.14925   0.02769 
  10551.448     0.09093   0.02781 
  10552.534    -0.01272   0.03202 
  10553.620     0.13084   0.03392 
  10554.706     0.01344   0.03388 
  10555.792    -0.03701   0.03485 
  10556.878    -0.07885   0.03158 
  10557.964    -0.08498   0.02730 
  10559.050     0.02373   0.02559 
  10560.136     0.02166   0.02614 
  10561.222    -0.00815   0.02637 
  10562.308    -0.05234   0.02703 
  10563.394    -0.03460   0.03769 
  10564.480     0.06224   0.02693 
  10565.566     0.03156   0.02435 
  10566.652     0.02878   0.02491 
  10567.738    -0.01110   0.02637 
  10568.824     0.00239   0.02831 
  10569.910    -0.04917   0.03171 
  10570.995    -0.08122   0.03202 
  10572.081    -0.01814   0.03564 
  10573.167     0.03675   0.04888 
  10574.253     0.05657   0.06215 
  10575.339     0.02043   0.06312 
  10576.425    -0.06656   0.06135 
  10577.511    -0.03224   0.05480 
  10578.597     0.05799   0.03013 
  10579.683     0.01600   0.02534 
  10580.769     0.01649   0.02509 
  10581.855     0.07323   0.02548 
  10582.941    -0.00574   0.02570 
  10584.027     0.03155   0.02752 
  10585.113     0.04682   0.03299 
  10586.199     0.14959   0.05479 
  10587.285     0.21451   0.07631 
  10588.371     0.05869   0.08285 
  10589.457    -0.03569   0.08189 
  10590.543     0.10522   0.07726 
  10591.629    -0.02970   0.04579 
  10592.715     0.00432   0.03070 
  10593.801     0.01653   0.02791 
  10594.887    -0.04911   0.02690 
  10595.973    -0.09045   0.02850 
  10597.059     0.01255   0.02971 
  10598.145     0.06222   0.03104 
  10599.231     0.02633   0.03484 
  10600.317     0.02590   0.03786 
  10601.403     0.02774   0.03732 
  10602.489     0.03393   0.03445 
  10603.575     0.07118   0.03116 
  10604.661    -0.01730   0.02928 
  10605.747     0.00568   0.02908 
  10606.833     0.02516   0.02723 
  10607.919     0.01783   0.02953 
  10609.005     0.10124   0.02825 
  10610.090    -0.01115   0.02882 
  10611.176    -0.05029   0.30317 
  10612.262    -0.03692   0.03210 
  10613.348     0.11391   0.02773 
